"","YearDecimal","Latitude30value","Latitude30uncertainty","Latitude33value","Latitude33uncertainty","Latitude37value","Latitude37uncertainty","Latitude41value","Latitude41uncertainty","Latitude44value","Latitude44uncertainty","Latitude49value","Latitude49uncertainty","Latitude53value","Latitude53uncertainty","Latitude58value","Latitude58uncertainty","Latitude64value","Latitude64uncertainty","Latitude72value","Latitude72uncertainty","Latitude90value","Latitude90uncertainty"
"464",1988.645833,348.738,0.531,348.101,0.419,347.169,0.309,346.004,0.333,344.759,0.463,343.649,0.57,342.859,0.593,342.467,0.526,342.416,0.399,342.565,0.257,342.763,0.156
"465",1988.666667,348.511,0.472,347.858,0.375,346.981,0.274,345.957,0.269,344.917,0.355,344.02,0.431,343.39,0.444,343.068,0.39,343.001,0.29,343.081,0.179,343.195,0.099
"466",1988.6875,348.266,0.464,347.681,0.373,346.952,0.264,346.156,0.209,345.395,0.243,344.765,0.29,344.331,0.297,344.099,0.259,344.028,0.189,344.045,0.114,344.083,0.061
"467",1988.708333,348.25,0.448,347.756,0.367,347.19,0.258,346.632,0.17,346.154,0.153,345.794,0.176,345.558,0.184,345.424,0.162,345.359,0.122,345.327,0.081,345.3,0.059
"468",1988.729167,348.467,0.421,348.082,0.352,347.682,0.253,347.347,0.169,347.123,0.145,347.002,0.164,346.941,0.175,346.895,0.159,346.841,0.127,346.772,0.093,346.696,0.074
"469",1988.75,348.893,0.385,348.634,0.328,348.394,0.246,348.252,0.189,348.233,0.196,348.297,0.228,348.368,0.239,348.389,0.217,348.343,0.171,348.25,0.12,348.141,0.086
"470",1988.770833,349.476,0.337,349.355,0.291,349.264,0.23,349.277,0.205,349.406,0.24,349.592,0.284,349.745,0.296,349.805,0.267,349.765,0.207,349.658,0.14,349.533,0.094
"471",1988.791667,350.155,0.271,350.175,0.236,350.219,0.196,350.351,0.202,350.573,0.257,350.823,0.307,351.013,0.32,351.089,0.288,351.052,0.223,350.943,0.15,350.817,0.098
"472",1988.8125,350.861,0.199,351.016,0.173,351.179,0.154,351.398,0.183,351.671,0.246,351.942,0.298,352.138,0.311,352.217,0.279,352.187,0.216,352.091,0.145,351.98,0.096
"473",1988.833333,351.669,0.165,352.009,0.161,352.319,0.179,352.618,0.233,352.895,0.296,353.113,0.333,353.237,0.327,353.259,0.278,353.201,0.203,353.103,0.13,353.006,0.088
"474",1988.854167,352.143,0.171,352.532,0.163,352.896,0.165,353.243,0.202,353.563,0.256,353.824,0.29,353.998,0.287,354.079,0.246,354.086,0.186,354.051,0.135,354.008,0.115
"475",1988.875,352.538,0.224,352.957,0.212,353.358,0.194,353.746,0.196,354.107,0.226,354.416,0.253,354.65,0.252,354.805,0.226,354.893,0.196,354.936,0.188,354.959,0.201
